DATE,TEAM,VS,H/A,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
03/05/2023 , MIL,WAS,A,W,240,117,39,83,47,22,49,44.9,17,22,77.3,7,38,45,30,5,6,12,15
03/07/2023 , MIL,ORL,A,W,240,134,46,78,59,10,28,35.7,32,34,94.1,3,35,38,28,5,5,16,18
03/09/2023 , MIL,BKN,H,W,240,118,44,104,42.3,19,50,38,11,14,78.6,20,41,61,33,8,12,16,14
03/11/2023 , MIL,GSW,A,L,265,116,43,100,43,21,51,41.2,9,11,81.8,7,41,48,28,9,7,17,14
03/13/2023 , MIL,SAC,A,W,240,133,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,2,4,12,18
03/14/2023 , MIL,PHX,A,W,240,116,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,8,6,12,15
03/16/2023 , MIL,IND,H,L,240,123,47,89,52.8,11,32,34.4,18,26,69.2,9,35,44,26,5,4,12,16
03/19/2023 , MIL,TOR,H,W,240,118,43,82,52.4,16,45,35.6,16,21,76.2,7,38,45,35,3,8,12,13
03/22/2023 , MIL,SAS,H,W,240,130,51,98,52,15,43,34.9,13,24,54.2,10,44,54,24,10,4,15,14
03/24/2023 , MIL,UTA,A,W,240,144,55,99,55.6,22,50,44,12,16,75,9,41,50,42,6,11,12,20
03/25/2023 , MIL,DEN,A,L,240,106,39,88,44.3,9,36,25,19,21,90.5,4,36,40,26,7,2,10,19
03/27/2023 , MIL,DET,A,W,240,126,45,95,47.4,14,45,31.1,22,26,84.6,15,35,50,28,5,4,8,23
